Object_ID,Geographic_Identifier_-_FIPS_Code,Area_of_Land_(Square_Meters),Area_of_Water_(Square_Meters),Name,State,County,Median_Household_Income_in_past_12_months_(inflation-adjusted_dollars_to_last_year_of_5-year_range),Median_Household_Income_in_past_12_months_(inflation-adjusted_dollars_to_last_year_of_5-year_range)_-_Margin_of_Error,"Median_Household_Income_in_past_12_months,_Householder_under_25_years","Median_Household_Income_in_past_12_months,_Householder_under_25_years_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Householder_25_to_44_years","Median_Household_Income_in_past_12_months,_Householder_25_to_44_years_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Householder_45_to_64_years","Median_Household_Income_in_past_12_months,_Householder_45_to_64_years_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Householder_65_years_and_over","Median_Household_Income_in_past_12_months,_Householder_65_years_and_over_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Black_or_African_American_Alone_Householder","Median_Household_Income_in_past_12_months,_Black_or_African_American_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_American_Indian_and_Alaska_Native_Alone_Householder","Median_Household_Income_in_past_12_months,_American_Indian_and_Alaska_Native_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Asian_Alone_Householder","Median_Household_Income_in_past_12_months,_Asian_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Native_Hawaiian_and_Other_Pacific_Islander_Alone_Householder","Median_Household_Income_in_past_12_months,_Native_Hawaiian_and_Other_Pacific_Islander_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Some_Other_Race_Alone_Householder","Median_Household_Income_in_past_12_months,_Some_Other_Race_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_2_or_More_Races_Householder","Median_Household_Income_in_past_12_months,_2_or_More_Races_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_White_Alone,_Not_Hispanic_Householder","Median_Household_Income_in_past_12_months,_White_Alone,_Not_Hispanic_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Hispanic_or_Latino_Householder","Median_Household_Income_in_past_12_months,_Hispanic_or_Latino_Householder_-_Margin_of_Error",Total_Households,Total_Households_-_Margin_of_Error,Households_with_any_self-employment_income_in_past_12_months,Households_with_any_self-employment_income_in_past_12_months_-_Margin_of_Error,Households_with_no_self-employment_income_in_past_12_months,Households_with_no_self-employment_income_in_past_12_months_-_Margin_of_Error,Percent_of_households_with_any_self-employment_income,Percent_of_households_with_any_self-employment_income_-_Margin_of_Error,Shape_Area,Shape_Length
2877,12001001100,7797190,0,Census Tract 11,Florida,Alachua County,73922,7185,0,0,83125,24370,90938,17107,64901,13838,56250,56332,0,0,92188,67674,0,0,0,0,0,0,75564,8016,72095,25480,2801,168,358,126,2443,182,12.8,4.432592387,10364553.4,15293.75177
2878,12001001201,2801014,5978,Census Tract 12.01,Florida,Alachua County,57500,18170,0,0,70000,60445,84359,17989,33304,15574,42059,54760,0,0,24632,22750,0,0,0,0,0,0,58906,17446,108333,58438,1146,96,83,49,1063,97,7.2,4.232478228,3732746.561,8880.00613
2879,12001001202,5862214,12288,Census Tract 12.02,Florida,Alachua County,56497,8938,26719,18146,55729,13169,65776,9028,65114,19525,25347,20118,0,0,66705,32228,0,0,0,0,0,0,65394,7024,56795,39691,2960,179,235,100,2725,203,7.9,3.344090061,7811596.227,13414.17853
2880,12001001203,3147778,527,Census Tract 12.03,Florida,Alachua County,41081,9664,23182,18827,56512,14908,37279,15902,28990,13924,62716,37742,0,0,28281,38706,0,0,0,0,0,0,46932,9465,16691,35055,1588,122,160,83,1428,137,10.1,5.169063269,4185935.295,10599.88384
2881,12001001400,20929508,848989,Census Tract 14,Florida,Alachua County,33354,5159,2499,0,24038,17466,39609,18832,34779,7624,28098,6681,0,0,0,0,0,0,0,0,0,0,41875,13816,0,0,888,75,54,25,834,81,6.1,2.768069799,28939257.23,34731.09183
2882,12001001514,1617729,10031,Census Tract 15.14,Florida,Alachua County,15833,5867,6727,3648,42045,9617,10625,8913,0,0,30093,31192,0,0,22125,15685,0,0,0,0,0,0,17976,5715,6625,5184,706,98,20,23,686,103,2.8,3.23397097,2161916.891,7787.557506
2883,12001001515,1550526,6403,Census Tract 15.15,Florida,Alachua County,16258,3024,13376,2893,26014,12222,12853,9864,0,0,9939,14121,0,0,45265,59538,0,0,21583,10358,14545,10771,19282,4538,11902,4164,2253,210,30,24,2223,209,1.3,1.057991333,2067490.23,5855.286281
2884,12001001516,524642,0,Census Tract 15.16,Florida,Alachua County,18690,8936,6938,8311,28106,9994,13912,2198,0,0,28523,29696,0,0,25208,23192,0,0,0,0,41111,40805,16576,9082,40278,59934,944,128,41,38,903,125,4.3,3.982112474,696575.6777,3425.491891
2885,12001001517,1508679,770,Census Tract 15.17,Florida,Alachua County,15554,4801,4250,3305,40080,11967,26310,20342,0,0,14779,10443,0,0,2499,0,0,0,0,0,0,0,25013,17221,3309,9822,2047,186,109,64,1938,191,5.3,3.088861513,2004010.367,6475.908944
2886,12001001519,1962047,7459,Census Tract 15.19,Florida,Alachua County,17790,4456,13316,4399,30433,15870,29922,31273,0,0,15435,7030,0,0,15750,22071,0,0,0,0,33542,78553,26597,9078,10536,10809,955,66,12,14,943,68,1.3,1.463394259,2614823.793,7723.424977
2887,12001001520,1485239,1715,Census Tract 15.20,Florida,Alachua County,25909,10860,20664,19432,36777,1086,20800,1709,0,0,16509,20898,0,0,30417,16869,0,0,0,0,0,0,21763,12240,33750,10218,926,119,58,64,868,124,6.3,6.864415766,1975098.082,6888.472034
2888,12001001521,3023327,10933,Census Tract 15.21,Florida,Alachua County,22475,5865,11099,4329,27991,2258,26917,14749,0,0,25423,7456,0,0,22125,12175,0,0,0,0,32897,21467,21000,5610,26333,19232,2071,186,57,45,2014,190,2.8,2.158757322,4029551.518,8290.31065
2889,12001001603,1431218,9468,Census Tract 16.03,Florida,Alachua County,31071,18727,16514,1986,56250,25062,49583,43404,41318,20881,21354,36435,0,0,0,0,0,0,0,0,0,0,31786,17912,75234,117506,504,80,88,44,416,80,17.5,8.278561217,1914319.447,7635.014807
2890,12001001604,6601881,145453,Census Tract 16.04,Florida,Alachua County,28245,6317,10725,7824,39215,9648,53892,12459,51855,12573,23021,9544,0,0,24044,29206,0,0,0,0,8750,19787,36065,5905,26645,20163,3026,276,108,66,2918,284,3.6,2.156667126,8964202.42,14963.25725
2891,12001001701,7918344,49789,Census Tract 17.01,Florida,Alachua County,38096,3126,9808,18368,31298,9008,60662,16004,38038,5716,23750,10663,0,0,39083,51590,0,0,0,0,65774,51485,40573,11350,27449,61881,2616,211,104,73,2512,218,4,2.772035438,10592995.73,15639.08195
2892,12001001702,7524032,100932,Census Tract 17.02,Florida,Alachua County,75341,7582,0,0,61630,21951,108646,24192,68929,18687,113047,7227,0,0,48717,27442,0,0,0,0,0,0,79038,11919,29668,12214,1913,153,253,108,1660,159,13.2,5.54560871,10133777.88,15475.56826
