Object_ID,Geographic_Identifier_-_FIPS_Code,Area_of_Land_(Square_Meters),Area_of_Water_(Square_Meters),Name,State,County,Median_Household_Income_in_past_12_months_(inflation-adjusted_dollars_to_last_year_of_5-year_range),Median_Household_Income_in_past_12_months_(inflation-adjusted_dollars_to_last_year_of_5-year_range)_-_Margin_of_Error,"Median_Household_Income_in_past_12_months,_Householder_under_25_years","Median_Household_Income_in_past_12_months,_Householder_under_25_years_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Householder_25_to_44_years","Median_Household_Income_in_past_12_months,_Householder_25_to_44_years_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Householder_45_to_64_years","Median_Household_Income_in_past_12_months,_Householder_45_to_64_years_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Householder_65_years_and_over","Median_Household_Income_in_past_12_months,_Householder_65_years_and_over_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Black_or_African_American_Alone_Householder","Median_Household_Income_in_past_12_months,_Black_or_African_American_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_American_Indian_and_Alaska_Native_Alone_Householder","Median_Household_Income_in_past_12_months,_American_Indian_and_Alaska_Native_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Asian_Alone_Householder","Median_Household_Income_in_past_12_months,_Asian_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Native_Hawaiian_and_Other_Pacific_Islander_Alone_Householder","Median_Household_Income_in_past_12_months,_Native_Hawaiian_and_Other_Pacific_Islander_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Some_Other_Race_Alone_Householder","Median_Household_Income_in_past_12_months,_Some_Other_Race_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Two_or_More_Races_Householder","Median_Household_Income_in_past_12_months,_Two_or_More_Races_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_White_alone,_not_Hispanic_Householder","Median_Household_Income_in_past_12_months,_White_alone,_not_Hispanic_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Hispanic_or_Latino_Householder","Median_Household_Income_in_past_12_months,_Hispanic_or_Latino_Householder_-_Margin_of_Error",Total_Households,Total_Households_-_Margin_of_Error,Households_with_any_self-employment_income_in_past_12_months,Households_with_any_self-employment_income_in_past_12_months_-_Margin_of_Error,Households_with_no_self-employment_income_in_past_12_months,Households_with_no_self-employment_income_in_past_12_months_-_Margin_of_Error,Percent_of_households_with_any_self-employment_income,Percent_of_households_with_any_self-employment_income_-_Margin_of_Error,Shape_Area,Shape_Length
2879,12001001202,5862250,12288,Census Tract 12.02,Florida,Alachua County,79420,13126,60515,59380,79647,19119,88828,31230,71164,16190,53053,44410,0,0,0,0,0,0,0,0,0,0,81991,14309,0,0,3246,228,251,128,2995,232,7.7,3.905730569,7811630.529,13414.17887
2880,12001001203,3146999,527,Census Tract 12.03,Florida,Alachua County,55571,8225,65313,55848,54583,21810,61629,22553,35489,4058,77741,43435,0,0,2499,0,0,0,0,0,0,0,55237,7459,73750,41272,1761,164,233,139,1528,188,13.2,7.796471059,4184899.113,10516.47745
2881,12001001400,20940352,848989,Census Tract 14,Florida,Alachua County,43056,13107,0,0,40000,19434,43846,15792,57656,22243,39861,13594,0,0,0,0,0,0,0,0,67708,65858,65476,24203,0,0,950,107,118,67,832,122,12.4,6.912481713,28953661.95,34601.31088
2882,12001001514,1617727,10031,Census Tract 15.14,Florida,Alachua County,36014,17867,0,0,51316,11627,49844,12375,0,0,28306,21092,0,0,102500,90869,0,0,51053,35258,0,0,24130,12922,0,0,970,155,46,31,924,151,4.7,3.10473622,2161916.893,7787.557506
2883,12001001515,1550523,6403,Census Tract 15.15,Florida,Alachua County,24892,11534,18291,4591,42531,10667,42083,19301,0,0,33697,15309,0,0,0,0,0,0,0,0,0,0,31782,14424,0,0,2697,422,128,119,2569,409,4.7,4.349368962,2067490.211,5855.286324
2884,12001001516,524639,0,Census Tract 15.16,Florida,Alachua County,25510,4423,23095,11875,39665,14079,0,0,15977,7636,28804,6029,0,0,40682,30856,0,0,0,0,0,0,26635,6966,0,0,1244,218,129,87,1115,207,10.4,6.753351174,696572.0977,3425.491947
2885,12001001517,1508688,770,Census Tract 15.17,Florida,Alachua County,44880,4220,41915,18580,46096,5035,60459,34408,14792,13816,48506,6462,0,0,43567,959,0,0,84844,73773,64415,29016,44531,20324,41250,16656,2377,279,58,57,2319,277,2.4,2.380816229,2004023.355,6475.908996
2886,12001001519,1962044,7459,Census Tract 15.19,Florida,Alachua County,33456,12008,22750,8081,55216,11817,80114,65506,0,0,0,0,0,0,0,0,0,0,58333,17661,0,0,42500,31752,32604,11147,761,146,23,18,738,150,3,2.293134612,2614818.08,7723.425005
2891,12001001701,7918345,49789,Census Tract 17.01,Florida,Alachua County,80833,16506,0,0,75385,47363,103011,30351,80519,19118,64779,26598,0,0,0,0,0,0,113962,20843,134732,108822,81769,18399,0,0,2966,343,171,132,2795,334,5.8,4.400213221,10592998.64,15639.08277
2892,12001001702,7520642,104135,Census Tract 17.02,Florida,Alachua County,67077,18905,0,0,81429,29464,65725,28980,70433,31881,0,0,0,0,0,0,0,0,0,0,52610,34288,80091,13950,39909,36523,2315,459,316,139,1999,424,13.7,5.359762883,10133533.37,15486.65172
2894,12001001802,78183975,1050747,Census Tract 18.02,Florida,Alachua County,41818,13398,0,0,0,0,46985,17940,27955,20552,47096,11932,0,0,0,0,0,0,0,0,0,0,37535,15037,0,0,1178,230,97,60,1081,240,8.2,4.832986551,105561229.3,55400.13453
2895,12001001803,8326485,32055,Census Tract 18.03,Florida,Alachua County,73100,17335,0,0,87243,54239,96918,28467,67576,30808,46100,45449,0,0,96310,61215,0,0,0,0,0,0,78681,16587,0,0,2756,249,232,116,2524,287,8.4,4.139713693,11119738.62,14690.20497
2898,12001001811,14048696,252717,Census Tract 18.11,Florida,Alachua County,78382,8629,57902,25082,69900,22975,80787,23878,101563,33065,0,0,0,0,228233,226101,0,0,0,0,56701,25420,81313,5856,58059,16651,3048,335,211,121,2837,356,6.9,3.896222924,19019277.64,21489.92348
2899,12001001813,19561968,882619,Census Tract 18.13,Florida,Alachua County,108850,9535,71026,11968,110341,20401,130815,39804,92361,20851,108586,65612,0,0,130703,34064,0,0,0,0,82361,48661,107905,15356,132946,105881,1647,240,177,68,1470,235,10.7,3.820196449,27203137.4,28913.94061
2901,12001001902,19712002,127988,Census Tract 19.02,Florida,Alachua County,30375,10105,0,0,36918,24074,23697,8830,23472,8815,31688,11735,0,0,0,0,0,0,0,0,0,0,27714,12700,0,0,1330,223,110,151,1220,162,8.3,11.26837499,26380643.95,34992.38966
2902,12001001907,136949785,25784108,Census Tract 19.07,Florida,Alachua County,55417,5539,0,0,61682,4430,0,0,54805,3683,34205,11015,0,0,0,0,0,0,0,0,0,0,56983,9380,0,0,1243,252,45,49,1198,255,3.6,3.873146898,216611850.6,79785.58877
2903,12001001908,270308553,6406701,Census Tract 19.08,Florida,Alachua County,52839,15229,0,0,0,0,65417,26376,36053,11238,0,0,0,0,0,0,0,0,0,0,0,0,54555,12900,0,0,2158,408,125,97,2033,399,5.8,4.359453121,368678976.4,91268.69481
2905,12001002101,166362890,82335945,Census Tract 21.01,Florida,Alachua County,76409,6898,0,0,108250,34296,75948,14836,73571,16835,0,0,0,0,0,0,0,0,0,0,0,0,82143,23383,0,0,833,143,149,68,684,141,17.9,7.563724136,253901232.7,214857.9822
2906,12001002102,57799970,16109955,Census Tract 21.02,Florida,Alachua County,38487,18754,0,0,59333,27514,43750,21938,0,0,9362,4964,0,0,0,0,0,0,0,0,39327,27064,64688,29170,0,0,490,130,36,20,454,132,7.3,3.586138855,97926965.76,48606.33139
2907,12001002201,86997127,923355,Census Tract 22.01,Florida,Alachua County,93147,10802,0,0,101016,23691,93420,13245,62639,30837,56117,12525,0,0,0,0,0,0,0,0,100573,55350,93678,9167,111944,57603,2131,233,250,112,1881,261,11.7,5.09681694,116903491.1,45043.59277
2908,12001002202,112551690,10405,Census Tract 22.02,Florida,Alachua County,76905,15722,0,0,98135,11090,82277,30423,58934,13304,57996,36076,0,0,0,0,0,0,0,0,0,0,94276,18749,0,0,2414,303,296,122,2118,319,12.3,4.813800291,149431852.3,51259.5136
2909,12001002204,32306361,52182,Census Tract 22.04,Florida,Alachua County,105817,11857,0,0,154837,31777,116674,19952,67092,12177,116638,34235,0,0,216268,6557,0,0,0,0,0,0,98701,8736,86779,60458,4521,478,274,143,4247,484,6.1,3.097430676,43019445.7,29319.56387
2911,12001002207,5274494,10519,Census Tract 22.07,Florida,Alachua County,118750,26934,0,0,131806,39877,142976,28883,101364,38061,0,0,0,0,200547,111014,0,0,0,0,95417,32668,130903,26705,93393,8563,1441,219,215,139,1226,200,14.9,9.375772646,7020957.115,11279.54738
2912,12001002208,10500223,35041,Census Tract 22.08,Florida,Alachua County,126513,30453,0,0,211719,52106,145083,45895,112222,19626,0,0,0,0,0,0,0,0,0,0,0,0,134732,37255,110972,50050,1097,167,111,54,986,167,10.1,4.675297967,13995729.44,14993.97155
2913,12001002209,123592710,3403088,Census Tract 22.09,Florida,Alachua County,103710,21655,0,0,159314,28380,133281,46275,51458,22036,68466,59999,0,0,146618,30146,0,0,0,0,159572,145378,100509,22056,158355,151193,3504,391,449,147,3055,400,12.8,3.944012721,168315672.3,57802.79564
2914,12001002210,148112038,6700262,Census Tract 22.10,Florida,Alachua County,73062,23440,0,0,98250,15650,62450,41299,41042,13602,0,0,0,0,0,0,0,0,0,0,0,0,79301,30068,113237,62323,2131,255,197,96,1934,257,9.2,4.366996477,205515340.2,77587.98839
